English,Kui_Odia
I don’t like to read political science.,ଆନୁ ରୋଜନିତୀ ବିଜ୍ଞାନ ପତିଆବା ମାଣ୍ଡେବୁ ।
The sun rises in the east.,ଏଆରୁ ପାଇଟିଆ ସାଲାଆତେରୁ ।
I like to go on picnics.,ଆ’ନୁ ବଣବଜି ଗିବା ଗାମେ ମାଣ୍ଡି
I like to play with my Nephew.,ଆନୁ ନାଇ ପୁତୁରା କେଏ କାହା ମନ ଆଇଁ ।
The Red Fort is in Delhi.,ରେଡ୍ ଦୁର୍ଗ ଦିଲ୍ଲୀତା ମାନେ ।
The fox is a very cunning animal.,କକଶିଆଳି ରଣ୍ଡେ ଗା’ମେ ଚାଲାକି ଜତୁ ।
Can I have a room higher floor?,ଉପର ମହଲାତାନି ଆନୁ ରଣ୍ଡା ବାକାର ପାଇନା ?
We should always tell the truth.,ଆଜୁ ଏସେରିବେଳାବେ ସତ ବେସପା କାତା ।
I like to listen to music.,ନାଙ୍ଗେ ଚା ବରକାରି ।
The giraffe has a long neck.,ଜିରାପ୍ ନାରି ଡକା ଗାମେ ଲାମ୍ବା ।
I like to play musical instruments.,ଆ’ନୁ ବାଦ୍ୟ/ବାଜାଙ୍ଗା କସପା ଗାମେ ମାଣ୍ଡି ।
The Indian flag is also known as the Tricolor.,ଜାତୀୟ ପତାକା ନି ତିନିକୋଣ ମେସା ଇନ୍‌ବା ଆନେ ।
We celebrate Independence Day on 15th August.,ଆ’ମୁଁ ଅଗଷ୍ଟ ପନ୍ଦର ଗେଲା ସ୍ୱାଧୀନତା ପାଳନ ଗିପିନାମୁ ।
I like to visit the zoo.,ମୋବାଇଲକା ଫୋନ୍ ଗିବା ତିଙ୍ଗି ବ୍ୟବହାର ଆଇନୁ ।
We should not use plastic bags.,ପ୍ଲାଷ୍ଟିକ୍ ଜିନିଷ ବ୍ୟବହାର ଗିବା କାତା ଆଏ ।
The swan is a graceful bird.,ରାଜ୍‌ହଂସ ଗାମେ ସାଞ୍ଜାନାରି ପଟା ।
I enjoy playing with my friends.,ଆନୁ ନାଇ ତଡ଼େଜାରିକେଏ କାହାନା ରେହା ଆଇ ମାଇ
The cow is a sacred animal in India.,"କ’ଡି ଆଇନେ, ମାଇଁ ଭାରତ ତା’ ନେଗି ଜ’ତୁ ।"
The elephant has two little eyes.,ହାତୀନାଇ ଜଙ୍ଗକା କଷାଇ କାନ୍‌କାହ ମାନ୍ତ ।
The sparrow is a small bird.,ସାରିଗାଟା ଟିକୁତାଇ ପଟାଙ୍ଗା ।
We should be responsible in work.,ଉାଙ୍ଗେ ମାଇ ପାଇଟିଆ ଦାୟିତ୍ୱବାନ୍ ଆବା ଦିନେ
The sun rises in the east.,ଇନୁ ବାନ୍ଦାରା ଡେଲି ନାହିକି ଗିପିଞ୍ଜାନି ।
We should not litter in public places.,"ଆ’ଜୁ ଗହଳି ବାସାତା ଅଳିଆ, ବିଛେଇ ଗିବା କାତା ଆଏ ।"
I go to school by bus.,ଆ’ନୁ ବସଡ଼ାଇ ଇସ୍କୁଲିଆକି ସାଜିମାଇଁ ।
The river Yamuna flows through Delhi.,ଜମୁନା ଜଡ଼ି ଦିଲ୍ଲୀ ସିଆନା ସାଜାନେ ।
He didn’t come to school Monday.,ଏଆଞ୍ଜୁ ସୋମନାରା ଦିନା ଇସ୍କୁଲିଆ ବାଜା ସିନାତେଞ୍ଜୁ ।
The birds are living on the tree.,ପଟାଙ୍ଗା ସ୍ରାଃନୁ ସେଣ୍ଡ ରାହି ଆଇ ମାନ ।
Daily exercise makes you fit and healthy.,ବେଗା ବିନା ବ୍ୟାୟମ ଗିତେକା ଇନୁ ନେଗାଡାଇ ରାହିଆଦି ।
I like to read comics really.,ଇଜେନେଏ ଆନୁ କାକା ପଡ଼ିଆନା ମନ ଆଇ ।
I like to play video games.,ଆ’ନୁ ବିଡ଼ିଓ କାହା ଗା’ମେ ମାଣ୍ଡି ।
Daringbadi is the Kashmir of Odisha.,ଦାରିଙ୍ଗିବାଡ଼ି ଆଇନେ ଓଡ଼ିଶା ପରି କାଶ୍ମିର ।
We drunk water in the morning.,ଆମୁ ନାତିସେଏ ସିରୁ ଉଟାମୁ ।
The Indian flag has three colors.,ଜାତୀୟ ପତାକା ତାନି ତିନିଗଟା କଲରି ମାନୁ ।
The cheetah can run very fast.,କାଲି ଟିକାଙ୍ଗା କାଡ୍‌ଲି ଗାମେ ସାଡ଼ା ପିଞ୍ଜା ମୁନେ ।
The zebra has black and white stripes.,ଜ୍ରେବାନାରି କାଲି ଏଙ୍ଗା ଲଙ୍ଗି ଗାରିଙ୍ଗା ମାନୁ ।
The cat sat on the mat.,ମେଅ ପଟି କୁଇଟି କକସାନେ ।
We should be kind to everyone.,ଆ’ଜୁ ଗୁଲେ ଲକୁରି ପ୍ରତି ଜେଡ଼ା ରାହିଆବା କାତା ।
We should care for the environment.,ଆ’ଜୁ ପରିବେଶ ତିନି ସାଞ୍ଜଗିବା କାତା ।
When do you go to college?,ଇନୁ ଏସେରି ବେଲା କଲେଜ ତାଙ୍ଗି ସାଜିଞ୍ଜି ?
The whale is the largest mammal.,ତିନି ମିନୁ ରଣେ୍‌ଡ ଦେରି ଜତୁ ।
I enjoy playing with my siblings.,"ଆ’ନୁ ମାଇ ଆଙ୍ଗି, ଆପରିକେ କାହା ମନ ପାଇ ।"
We should be grateful for what we have.,ମା'ଇ ବାସା ଇନାରିମାନେ ଏସିବା ଗା ପାଡନା ରାହିଆବା କାତା
The elephant has a long trunk.,ନରେନ୍ଦ୍ର ମୋଦି ମାଇ ପ୍ରଧାନମ୫ୀ ।
I like to read my Geography book.,ଆନ ଭୂଗୋଳ ବହି ପଢ଼ି ଆବା ମାଣ୍ଡିଇ
When did you return home last night?,ରିଇସି ନାତାଙ୍ଗି ଇନୁ ଏସେକା ତନୁତାତି ?
We should keep our rivers clean.,ଜଡ଼ି ସାପା ଗିବା ମାନ୍ଦେ ଦାୟତ ।
I like to play with my friends.,ପିଜୁ ବାଇମାନେ ଚୌକିଙ୍ଗା ଭାଇକି ପଦୁ ।
Get ready to go to school.,ଇସ୍କୁଲ୍ ସାଲ୍‌ବା ସେଲୁ ତଲ ଆସୁ ।
I enjoy listening to Ghost stories.,ଆନୁ ମାଆଲି କେରଣାକା ବେହବା ମନ ପାଇଁ ।
The fish live inside the water.,ମିନୁ ସିରଲାଇ ରାହିଆନେ ।
The elephant is very strong animal.,ହାତିରଣ୍ଡେ ଡାଟାଗାଡ଼ି ଜଣୁ
We should not pollute the air.,ଆ’ଜୁ ବିଲୁତିନି ମଇଲା ଗିବା କାତା ଆ’ଏ ।
What are your likes and dislikes?,ଆନାରାଆ ଇନୁ ମାଣ୍ଡିରି ଏଙ୍ଗା ମାଣ୍ଡାଆରି ?
I like to visit the beach.,ଆନୁ ସମୁଦ୍ର କୁଡୁ ମେଃପା ମନ ଆଇ
Breakfast is the most important meal of the day.,ଜଳକିଆ ଆଇନେ ରଣ୍ଡେ ମାଦେଙ୍ଗି ତାରି ଦରକାରୀ ତିନ୍‌ମ୍ବା ।
I love to listen to music.,ଆ’ନୁ ଗାଡ଼ିଙ୍ଗା ବେନ୍‌ବା ତିଙ୍ଗି ମାଣ୍ଡି ।
The flamingo stands on one leg.,ଲାମ୍ବା ଗାଟାରି ପଟା ର’ କାଡୁଡାଇ ତାକା ମୁନେ ।
I like to draw and paint.,ଆ’ନୁ ସିତ୍ର ଗିବା’ ଏଙ୍ଗା କଲରିଗିବା ମାଣ୍ଡି ।
I enjoy listening to old story.,ଆନୁ ପ୍ଲାତି କୋରଣ୍ଡି ବେଞ୍ଜିମାଇ ।
I enjoy playing in the garden.,ଆନୁ ବଗିଚାନି କାହା ଗାମେ ମାଣ୍ଡି ।
I have to play give for future.,ଆନୁ ନକିସ୍ ଭବିଷ୍ୟତ ତିଙ୍ଗି କାହା ଦରକାରି ।
The monkey is hanging by hand.,ମାକାଡ଼ି କାଜୁଡାଇ ଡଙ୍ଗୁ ଇଞ୍ଜାମାନେ ।
I like to play with my friends.,ଆନୁ ମାଇ ମାଏଞ୍ଜାରିକେଏ କାଉ ମନ ଆଇ
I like to visit the park.,ଆନୁ ପାର୍କ ମେଃପା ମନ ଆଇ ।
I like to eat fresh fruits.,ଆନୁ ନେଗି ପଲ ତିନ୍‌ବା ମାଣଡି ।
Could you show me your answer sheet?,ଇନୁ ନିଳାରୁ ଉତ୍ତର ଆକୁ ନା୍େ‌ଗ ତସ୍ତାଗୁ
My favorite book is Harry Potter.,ହ୍ୟାରି ପୋଟର ଆଇନେ ନାନ୍ଦେ ନେଗି ପୁତି ।
I enjoy baking with my mother.,ଆ’ନୁ ମାଇଁ ଇଆଙ୍ଗେ ପିଟକା ଗାଡ଼ିଗିବା ମାଣ୍ଡି ।
Wash your hand  before and after food.,ମିଆ ବାକା ତିମ୍ବା ବେଲେ ବେଅଟି ନଗବୁ ।
The bear lives in the Jungle.,ଅଲି ଗସାତାନି ରାହି ଆଇନେ ।
I wake up early in the morning.,ଆନୁ ନାତିସେଏ ଜିଙ୍ଗିଇ ।
He removed the picture from the wall.,ଏଆଞ୍ଜୁ ଗୁଡାତାରିଆ ଚିତ୍ର ବେସିତେଞ୍ଜୁ
"The Himalayas are the highest mountains in the
world.",ହିମାଳୟ ସବୁ ପୁର୍ତିତାନି ଗାମେ ଦେରି ସରୁ ।
I like to visit the zoo.,ଆ’ନୁ ଚିଡ଼ିଆକାନା ତ୍ରେବା ଗାମେ ମାଣ୍ଡି ।
I like to play football in the evening.,ଆନୁ ବିଲାଡ଼ି ପେଣ୍ଡୁ କାହା ଗାମେ ମାଣ୍ଡି ।
We should not deface public property.,ଆ’ଜୁ ଲକୁତାରା ସମ୍ପତ୍ତି ନଷ୍ଟ ଗିବା କାତା ଆ’ଏ ।
A cow gives two bucket milk per day.,ରଣ୍ଡେ କଡ଼ି ଦିନେକା ରି ବାଲ୍‌ଟି ପାଡୁ ସିପକି ମାନେ ।
I will move heaven and earth.,ଆନୁ ସ୍ୱର୍ଗ ଏଙ୍ଗା ପୁର୍ତ୍ତିତାନିଇ ତ୍ରେଲ ।
I don’t have a single Paisa.,ନାଇ ବାହାର ପାଇ ବେଏ ସିଡ୍‌ଅ ।
We should be respectful to our teachers.,ଆ’ଜୁ ଗୁରୁଜନ କୁରି ଜେଡ଼ାଗିବା କାତା ।
I like to read fairy tales.,ଆନୁ କେରଣ୍ଡାକା ପତି ଆବା ସେଲୁ ମନ ଆଇ
We took the last train to Delhi.,ଆମୁ ଦିଲ୍ଲୀ ସାଲବା ସେଲୁ ବେତିତାରି ଟ୍ରେନ୍ ଆଃତାମୁ ।
I like to listen to music.,ଜେବାନଆନା ଟୁପି ବ୍ଲାଉଡେକ ?
Lion is the king of the forest.,ସରୁତାରି ରାଜା ସିଂହ କାଡ୍‌ଡ଼ି ।
Samuel breaks in to the conversation and told us?,ସାମୁଏଲ୍ କାତାନଇ ଲେକ୍‌ସାନାଇ କ୍ଲଷ୍ଣା ବେସ୍ତାତେଞ୍ଜୁ ।
I like to bath early morning.,ଆନୁ ଡାଇସିନେ ସିରିମିବା ମନ ପାଇଁ ।
Birds are crying at all time.,ପଟାଙ୍ଗା ଏସେରବେଲାବେଏ ଡିଇମାନୁ ।
That river flows into the cuttack.,ଏରେ ଜଡ଼ି କଟକ ସିଆନା ସାଜିନେ ।
My best friend’s name is Ravi.,ନାଇଁ ନେଗି ତଡ଼େଞ୍ଜୁ ତାରି ପାଦା ରବି ।
Wash your hand before take meal.,ତିନି ବେଲେଏ ନେଏ କାସ୍କା ନଗ୍‌ଦୁ ।
We should be careful with fire.,ଆ’ଜୁ ନାଡ଼ିତିଙ୍ଗେ କାହା କାତା ଆଏ ।
You did not write a letter.,ଇନୁ ଚିଠି ବ୍ରିସାଆତି ।
Gandhi Ji is known as the Father of the Nation.,ଗାନ୍ଧିଜୀ ଜାତିତା ଆବା ଇଞ୍ଜାନା ଗାମେ ପରିଚିତ ।
Who will be co‐operative with you?,ଏମ୍ବାଏ ନିଙ୍ଗେ ସହଯୋଗ ଗିଆନେଞ୍ଜୁ ?
We should keep our surroundings green.,ଆ’ଜୁ ମାନ୍ଦା ସାରିକାନି ପରିବେଶ ଜିବେଣୀଗିଆନା ଇଟା କାତା ।
I am busy at the moment.,ଆନୁ ଇଦେଏ ବ୍ୟସ୍ତ ମାଇ
I enjoy going to the museum.,ଆ’ନୁ ମିତ୍ତଜିଉ ତ୍ରେବା ଗାମେ ଗାମେ ଗାଣ୍ଡି ।
My grandfather tells me stories at night.,ମାଇଁ ଜେଜେ ଆବା ନାଙ୍ଗେ ନାଡାଙ୍ଗି କେରଡି ବେସ୍‌ପି ଜ୍ଞାନେଞ୍ଜୁ ।
I love to dance and sing.,"ଆ’ନୁ ଏନ୍ଦା ଗାଡ଼ିଏସା ଗାମେ, ମାଣଡି ।"
I like to visit the zoo.,ଆନୁ ଚିଡ଼ିଆଖାନା ମେଃପା ସେଲୁ ମାଣ୍ଡିଇ
The monkey can climb the tree.,ମାକଡ଼ା ମ୍ରାଃନୁ ସେଙ୍ଗା ସୁନେ
The dog bark when unknown person come.,ଏସେଇ ଦେଲା ପୁକାନି ଲକୁ ଜାନେରୁ ନାକୁଡ଼ି ମୁସ୍‌କିନେ ।
I like to visit the temple.,ଆନୁ ମନ୍ଦିର ମେଃପା ମନ ଆଇ
The peacock has a beautiful dance.,ମେଲୁ ରଣ୍ଡେ ନେଗି ଏନ୍ଦିବାରି
We should not be talk lie.,ଆଜୁ ମାତ୍ରି ବେସ୍ପା କୁନ ।
I enjoy swimming in the pool.,ଆନୁ ବନ୍ଦତା କ୍ରାହା ଗାମେ ମାଣ୍ଡି ।
I enjoy going on nature walks.,ଆ’ନୁ ପ୍ରକୃତଡାଇ ତାକି ତାକି ସାଲବା ମାଣ୍ଡି ।
I enjoy playing with my children.,ଆନୁ ନାଇ ମିତାକାନ୍‌୍େ‌ଗ କାହିଲ ।
The peacock is our national bird.,ମେ'ଲୁ ଆଇନେ ମାଇଁ ଜାତୀୟ ପଟା ।
The monkey is very funny animal.,ମାକ୍‌ଡା ରଣ୍ଡେ ମଜାତାରି ଜତ
The sun shining bright in the morning.,ବେଲା ସକାଲେଏ ଅସଦେ
The lion is the king of the jungle.,ସିଂହି ଆଇନେ ସରୁତାରି ରାଜା ।
I will try my level best.,ଆନୁ ନାଇ ସୁନିତେସିଏ ଚେଷ୍ଟା ଜଇ ।
We should take care of our health.,ଆ’ଜୁ ମାନ୍ଦାରା ସ୍ୱାସ୍ଥ୍ୟ ସାଞ୍ଜାନା ଇଟାକାତା ।
The monkey is a very playful animal.,ମାକାଡ଼ି ଗାମେ କାହା ଗାଟାରି ।
I like to visit the Sea.,ଆନୁ ସମୁଦ୍ର ମେଃପା ମନ ଆଇ
I lend some money from my mother.,ଆନୁ ନାଇ ଆୟାନିଇ-ଇକନି ଡାବୁଙ୍ଗା ଜାତେଏ ।
"You know, I love you so much.",ଇନୁ ପୁଞ୍ଜାମାଞ୍ଜି ଆନୁ ନିଙ୍ଗେ ଗାମେଏ ମନ ଆରଞ୍ଜାଇ ।
The giraffe has a long neck.,ଜିରାପ ତାରି ଲାମ୍ବା ବଟ ।
I want to see Lord Jagannath.,ଆନୁ ପେନୁ ଜଗନ୍ନାଥ ନି ମେହପା ମନ ଆଇସାଇଁ ।
What can I do for you?,ନି ସେଲୁ ଆନାଆ ଗିବା ସୁଇ ?
The kangaroo carries its baby in a pouch.,କଙ୍ଗାରୁ ତାଡ଼ା ମିଡାନି ର ମର୍ଣ୍ଣିତା ଇଝାନା ତ୍ରେହିପିଦିନେ ।
The kangaroo is found in Australia.,ଅଷ୍ଟ୍ରେଲିଆ ତା କଙ୍ଗାରୁ ଜତୁ ନା’ନୁ ।
Frog live both water and ground.,ପାନା ନେତେ ଏଙ୍ଗା ସିରୁତା ରାହି ଆନେ ।
I like to play in the rain.,ଆ’ନୁ ପିଜୁତା କାହା ମାଣ୍ଡି ।
I like to read fairy tales.,ଆନୁ ମଜାଗାଟାରି କାତା ପଡ଼ିଆବା ମାଣ୍ଡି ।
I like to read stories of Indians.,ଆନୁ ଭାରତ ଲକୁରିଆ କେରଣି ପଡ଼ିଆବା ମନ ପାଇଁ ।
The tortoise has a hard shell.,ସେମ୍ବିନା’ର ଡାଟା ଡାକୁଡି ମାନେ ।
What do you want from me?,ଇନୁ ନାଇ ବାହାଡାଇ ଆନାଆ ମାଟ୍‌କିଞ୍ଜି ।
We should always be on time.,ଆ’ଜୁ ସଦାବେଳେ ନେଗି ସୟମତା ରାହିଆବା କାତା ।
The lotus is our national flower.,ମାଇଁ ଦାଢିତା’ରି ପୁବୁ ଆଇନେ ପଦ୍ମ ।
The capital of India is New Delhi.,ମାଇଁ ଦେଶ ତା’ରି ରାଜଧାନି ଆଇନେ ନୂଆଦିଲ୍ଲୀ
We should be kind to everyone.,ଆ’ମୁ ଗୁଲେ ଲକୁରି ନେଗି ଏଲୁଗିବା କାତା ।
The seal can balance a ball on its nose.,ଓିଲ୍‌ମିନୁ ତାଡ଼ା ସୁଙ୍ଗେଲିଆ ବଲ୍ ଇଟା ମୁନେ ।
The dolphin is a friendly sea creature.,ଡଲଫିନ୍ ରଣ୍ଡେ ତଡ଼େଞ୍ଜା ଡେଃଙ୍ଗି ସମୁଦ୍ର ଜତୁ ।
I like to watch play football. .,ଆନୁ ଫୁଟବଲ୍ କାହା ମନ ଥାଇ
The rabbit is a lovely animal.,ମାଡ୍‌ତୁ ଗାମେ ସାଞ୍ଜାନି ଜତ ।
I like to visit the park.,ଆନୁ ପାର୍କ ମେଃପା ମନ ଆଇ
The hummingbird can hover in mid‐air.,ଔମିଙ୍ଗ ପଟା ଗାମେ ସେଣ୍ଡକି ଭଡା ମୁନେ ।
The lion is the king of the jungle.,ସିଂହ ଗହାତାରି ରାଜା ।
Can you arrange for airport transportation?,ଉଡ଼ାଜାହାଜ ପଟିଆ ସାଲବା ଆନାଆ ବ୍ୟବସ୍ଥା ଗିଆତ୍ମି ?
I like to watch wildlife documentaries.,ଆ’ନୁ ଆଡ଼େନା ଜତଙ୍ଗା କାଗଜପତ୍ର ମେଃପା ମାଣ୍ଡି
The stork has a long neck.,ବଗନାରୀ ରଣ୍ଡେ ଲେମ୍ବା ଡକା ମାନେ ।
I bring a bat from market.,ଆନୁ ଆଟାଡାଇ ବେଟ୍ ତାତେଏ ।
I like to see the Cm arrangement.,ଆନୁ ମୁଖ୍ୟମ୫ୀ ବ୍ୟବସ୍ଥା ତୟଃସାତିଙ୍ଗି ଏଲୁ ଆଇମାଇଁ ।
The bear is very strong than rabbit.,ମାଡ୍‌ଡୁ ବାଗା ଅଲି ଗାମେଏ ଡାଟା ଆନେ
They went to the office early.,ଏଆରୁ ଉତେଏ ଅଫିସ୍ ତାଙ୍ଗି ସାସେରୁ
 We should be silent in the meeting.,ମାଙ୍ଗେ ମିଟିଙ୍ଗ୍ ତାନି ପାଁଗନା ରହିଆନା ଦିନେ ।
The man broke down when doctor told her?,ଏ ସରି ଦେଲା ଡାକ୍ତର ବେସ୍ତେଞ୍ଜୁ ଏଆଇଞ୍ଜିରି ଜେଡା ଲେଗିତେ / ଜେଲା ସାକ୍‌ଡ୍‌ଆଡ଼େ ।
The peacock is a beautiful bird.,ମେଲୁ ରଣ୍ଡେ ସାଞ୍ଜନାରି ପଟା ।
I will take towel for bath.,ଆନୁ ଗାମ୍‌ସା ଅଇଁ ସିର ମିବା ତିଙ୍ଗି ।
The starfish lives in the ocean.,ସୁକାଗାଟାରି ମିନୁ ସମୁଦ୍ରତାନି ରାହିଆଇନେ ।
The moon shines brightly at night.,ଡାଞ୍ଜୁ ନାନାଙ୍ଗି ନେଗି ଉଜାଡ଼ି ଆଇନେ ।
I have many friends at school.,ଇସ୍କୁଲିଆ ଗାମେ ତଡ଼େଙ୍ଗା ମାନେରୁ ।
The temperature will come down tomorrow.,ବିଏ କାଳନି କଗିନେ ।
I like to play with my sister.,ଆବୁ ନାଇ ଆପିଙ୍ଗେ କାହାତିଙ୍ଗି ମନ ଆଇଁ ।
The duck swims in the water.,ଅବତକଙ୍ଗା ସିରୁତା ପହଁରି ଆଇନୁ ।
I like to visit the tourist place.,ଆନୁ ମେଃପା ଆଗନି ବାହା ତ୍ରେନା ମନ ଆର
I don’t eat non‐veg on Thursday.,ଆନୁ ମଙ୍ଗଳବାରା ଆଇଁସ ଡିନେନୁ ।
She went to the movie with Tom.,ଏରେ ଟସ କେଏ ଫିଲିମ୍ ମେଃପା ସାସେ ।
I like to learn new things.,ଆ’ନୁ ପୁନାରା କାତା ଗ୍ରାମ୍ବା ଗାମେ ମାଣ୍ଡି ।
I like to visit the park.,ନବୀନ ପଟ୍ଟନାୟକ ମାଇ ମୁଖ୍ୟମ୫ୀ ।
The giraffe has a long neck.,ଏବାରୁ ଏମ୍ବାଆ ରାହିଆଗାନେରୁ ।
We should be responsible for that.,ଆଜୁ ଆରାଡ଼ିକି ଦାୟୀ ଆନା ।
We should be responsible about our career.,ଆୁ ମାଇ କାମା ପ୍ରତି ଦାୟିତ୍ୱ ଆବା ଦରକାର ।
We should be kind about Birds.,ଆଜୁ ପଟାଙ୍ଗାନି ଜେଡାଗିବା ଦିନେ ।
I want to do my job.,ଆନୁ ନାନ୍ଦାରା ପାଇଟି ଗିବାତାଙ୍ଗି ମାଣ୍ଡି ।
The dog is jumping in the pool.,ହାକୁଡ଼ି ଗୁଡ୍‌ଦୁତା ଡେଗାଇବେ ।
The giraffe has a long tongue.,ଜିରାଫ୍ ତାରି ବାଙ୍ଗସି ଲାମ୍ବା ।
My brother is taller than me.,ନାଇ ଦାଦା ନାଇ ସେଲୁ ଗାପ୍‌ସି ବାତି ଆଜାନେଞ୍ଜୁ ।
We should keep our surroundings clean.,ମାଇଁ ପରିବେଶ ତିନି ସାପା ଇଟିନା ।
We should be honest with our friends.,ଆ’ମୁ ମାଇଁ ତଡ଼େଙ୍ଗାନ୍‌କେ ପାଡ୍‌ନା ରାହିଆବା କାତା ।
The birds are living on the tree.,ମ୍ରାଃହୁଣ୍ଡି ତାନି ପଟାଙ୍ଗା ରାହି ଆଇବ ।
We should give respect to others.,ଆଜୁ ଲକୁରିଇ ସଦ୍ଭାନ ସିବା ଦରକାରି ।
The dog barked for a long time.,ବାକୁଡ଼ି ଗାମେ ଚେଲି ମୁସ୍‌କିତେ ।
We should be mindful of our actions.,ଆ’ଜୁ ମାନ୍ଦାରା କାମା ସେଲୁ ଏଲୁ ଗିବା କାତା ।
I like to visit the beach.,ଆନୁ ସୁମଦ୍ର କୁଡୁ ମେଃପା ମାଣ୍ଡଇ ।
The plain will take off in two hours.,ଦୁଇ ଘଣ୍ଟା ଭିତରେ ଉଡ଼ାଜାହାଜ ବାନେ ।
I like to visit the park.,ଆନୁ ପାର୍କ ମେଃପା ମନ ପାଇଁ ।
The kangaroo can jump very high.,କଙ୍ଗାରୁ ଗାମେ ଦୁରାକି ଡେଗା ସୁନେ ।
I like to make new friends.,ଆ’ନୁ ପୁନି ସମ୍ପର୍କ ଗିଦବା ମାଣ୍ଡି ।
What do we  call this in English ?,ଇରାଆ ଇଂରାଜୀ ଡାଇ ଆନାଆ ଇନ୍‌ମ୍ବା ଆବେ ?
We should respect the national anthem.,ଆ’ଜୁ ଜାତୀୟ ଗାଡ଼ି ତିନି ସଦ୍ଭାନ ସିବା କାତା ।
The penguin is a bird that cannot fly.,"ପେଙ୍ଗୁଇନ୍ ରଣ୍ଡେ ପଟା, ଏଙ୍‌ଗା ଉଡଶ ମୁ’ଏ"
I enjoy listening to music and do dance.,ଆନୁ ଗାଣିଙ୍ଗା ବେନ୍‌ବା ଏଃଙ୍ଗା ଏନ୍ଦା ବେଙ୍ଗା ମଜାଶିଇଁ ।
We should use cloth bags instead of plastic.,ଆ’ସୁ ପ୍ଲାଷ୍ଟିକ ମଣି କୁଆନା ସିଣ୍ଡାଙ୍ଗା ମଣ୍ଡି ଆଃପିନାମୁ ।
"Whenever I meet her, she tells me a new story.","ଆନୁ ଏସେରି ବେଲା ଏରାନିଇ ପୁଣ୍‌ଡିତେଏ, ଏରେ ପୁନାରାଆ କେରଣ୍ଡି ବେସ୍ତାତେ ।"
My mother cooked delicious food yesterday.,ନାଇ ଆୟା ରିଇସି ନେଗି ତିନମ୍ବା ବାଜାସେ
The frog lives in water and on land.,ପାନା ସିରୁତା ଏଙ୍ଗା ଆଡ଼ ବେ ବାସା ଆବା ମୁନେ ।
