English,Santali
Geetha Govindam and other such devotional songs are sung in praise of Krishna.,ᱜᱤᱛᱜᱳᱵᱤᱱᱫᱚ ᱟᱨ ᱱᱚᱝᱠᱟᱱ ᱮᱴᱟᱜ ᱵᱷᱚᱠᱛᱤᱭᱟᱱᱟᱜ ᱥᱮᱨᱮᱧ ᱠᱨᱤᱥᱱᱚᱣᱟᱜ ᱥᱛᱩᱛᱤ ᱨᱮ ᱥᱮᱨᱮᱧ ᱟᱠᱚ᱾
"The Maratha Empire, which had replaced the Mughal Empire as the overlord of the subcontinent, was finally replaced by the British Empire in 1818.","ᱢᱟᱨᱟᱴᱷᱟ ᱥᱟᱢᱨᱟᱡᱽᱡᱚ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱢᱩᱜᱷᱚᱞ ᱥᱟᱢᱨᱟᱡᱽᱡᱚ ᱡᱚᱜᱚᱢᱚᱦᱟᱰᱤᱯ ᱨᱮᱱ ᱨᱟᱡᱟ ᱞᱮᱠᱟᱛᱮ ᱛᱷᱟᱯᱚᱱ ᱞᱮᱫ ᱛᱟᱦᱮᱸᱫ ᱠᱟᱱᱟᱭ ,ᱢᱩᱪᱟᱹᱫ ᱨᱮ ᱑᱘᱑᱘ ᱥᱟᱹᱦᱤᱛ ᱨᱮ ᱵᱨᱤᱴᱤᱥ ᱥᱟᱢᱨᱟᱡᱽᱡᱚ ᱫᱟᱨᱟᱭᱛᱮ ᱛᱷᱟᱯᱚᱱ ᱫᱚᱦᱲᱟ ᱞᱮᱱᱟ ᱾"
"A number of Gurukuls, such as that of Alauddin Khan at Maihar, flourished.",ᱢᱟᱭᱦᱚᱨ ᱨᱮ ᱟᱞᱟᱣᱩᱫᱽᱫᱤᱱ ᱠᱷᱟᱱ ᱞᱮᱠᱟ ᱟᱭᱢᱟ ᱜᱟᱱ ᱜᱩᱨᱩᱠᱩᱞ ᱩᱛᱱᱟᱹᱣ ᱞᱮᱱᱟ ᱾
The Indira Gandhi International Sports Stadium in Haldwani is the home ground of Uttarakhand football team.,ᱦᱚᱞᱚᱫᱚᱣᱟᱱᱤ ᱨᱮ ᱤᱱᱫᱤᱨᱟ ᱜᱟᱱᱫᱷᱤ ᱡᱮᱜᱮᱫ ᱠᱷᱮᱞᱳᱰ ᱥᱴᱮᱰᱤᱭᱟᱢ ᱫᱚ ᱩᱛᱛᱚᱨᱟ ᱠᱷᱚᱱᱰᱚ ᱨᱮᱭᱟᱜ ᱯᱷᱩᱴᱵᱚᱞ ᱠᱷᱮᱞ ᱫᱚᱞ ᱠᱚᱶᱟᱜ ᱚᱲᱟᱜ ᱨᱮᱭᱟᱜ ᱜᱚᱰᱟ ᱠᱟᱱᱟ ᱾
"The king himself composed an epic Telugu poem, Amuktamalyada.","ᱨᱟᱡᱟ ᱟᱡᱜᱮ ᱢᱤᱫᱴᱮᱱ ᱢᱟᱦᱟ ᱚᱱᱚᱲᱦᱮᱸ ᱛᱮᱞᱮᱜᱩ ᱚᱱᱚᱲᱦᱮᱸ, ᱟᱢᱩᱠᱛᱚᱢᱟᱞᱞᱚᱫᱟ ᱚᱞ ᱞᱮᱫᱟᱭ ᱾"
"Her next release was Cash, again opposite Ajay Devgn.","ᱟᱭᱟᱜ ᱛᱟᱭᱚᱢ ᱫᱟᱨᱟᱢ ᱨᱟᱲᱟ ᱫᱚ ᱛᱟᱦᱮᱸᱠᱟᱱᱟ ᱠᱮᱥ, ᱚᱱᱟ ᱫᱚ ᱟᱨᱦᱚᱸ ᱚᱡᱚᱭ ᱫᱮᱵᱽ ᱜᱚᱱᱟᱜ ᱩᱞᱴᱟᱹᱨᱮ ᱾"
"Community establishments exist in urban centers that arrange social events, sports events, musical concerts, comedy shows, and other activities.","ᱱᱟᱜᱟᱨ ᱛᱟᱞᱢᱟ ᱠᱚᱨᱮ ᱧᱮᱞᱚᱜᱼᱟ ᱥᱟᱶᱛᱟᱹᱨᱤ ᱟᱥᱲᱟ ᱠᱚ ᱥᱟᱶᱛᱟᱟᱹᱨᱤ ᱟᱠᱷᱲᱟ, ᱠᱷᱮᱞᱚᱸᱰ ᱟᱠᱷᱲᱟ, ᱥᱮᱹᱨᱮᱹᱧ ᱟᱠᱷᱲᱟ, ᱞᱟᱪᱷᱟᱲ ᱩᱫᱩᱜ ᱟᱨ ᱮᱴᱟᱜ ᱮᱴᱟᱜ ᱠᱟᱹᱢᱤᱦᱚᱨᱟ ᱨᱮᱭᱟᱜ ᱠᱚ ᱵᱚᱱᱫᱮᱡᱼᱟ ᱾"
"The word ""Manipur"" is made-up of two Sanskrit words (Maá¹‡i), which means jewel and (PurÇ_x009d_), which means land/place/abode, Manipur is translated as ""Jewelled land"".","ᱢᱚᱱᱤᱯᱩᱨ ᱟᱹᱲᱟᱹ ᱫᱚ ᱵᱟᱨᱭᱟ ᱥᱚᱝᱥᱠᱨᱤᱛ ᱟᱹᱲᱟᱹ ᱛᱮ ᱵᱮᱱᱟᱣ ᱟᱠᱟᱱᱟ 'ᱢᱚᱱᱤ' ᱨᱮᱭᱟᱜ ᱢᱟᱱᱮ ᱨᱚᱛᱱᱚ ᱟᱨ 'ᱯᱩᱨ', ᱡᱟᱦᱟᱸ ᱨᱮᱭᱟᱜ ᱢᱟᱱᱮ ᱚᱛ ᱦᱟᱥᱟ/ᱴᱷᱟᱶ/ᱜᱤᱨᱟᱹᱵᱟᱥᱤ, ᱢᱚᱱᱤᱯᱩᱨ ᱨᱮᱱᱟᱜ ᱢᱟᱱᱮ ""ᱫᱷᱚᱱ ᱫᱩᱨᱤᱵᱽ ᱯᱮᱨᱮᱡ ᱦᱟᱥᱟ"" ᱠᱟᱱᱟ ᱾"
This was the time of learning and acquisition of knowledge for me.,ᱱᱚᱶᱟ ᱫᱚ ᱤᱧ ᱞᱟᱹᱜᱤᱫ ᱪᱮᱫᱚᱜ ᱟᱨ ᱜᱮᱭᱟᱱ ᱟᱨᱡᱟᱣ ᱨᱮᱱᱟᱜ ᱚᱠᱛᱚ ᱛᱟᱦᱮ ᱠᱟᱱᱟ ᱾
"The stadium is directed by Dronacharya awardee, Mahabali Satpal.",ᱥᱴᱮᱰᱤᱭᱟᱢ ᱫᱚᱭ ᱪᱟᱪᱟᱞᱟᱣ ᱮᱫ ᱛᱟᱦᱮᱱ ᱫᱨᱳᱱᱟᱪᱟᱨᱡᱚ ᱥᱤᱨᱯᱟᱹ ᱦᱟᱢᱮᱴᱟᱱ ᱢᱚᱦᱟᱵᱟᱞᱤ ᱥᱚᱛᱯᱟᱞ ᱾
"To conserve and protect this animal in the northeast, the National Research Centre on Mithun was established by the Indian Council of Agricultural Research in 1988.","ᱩᱛᱛᱚᱨᱼᱯᱩᱨᱵᱚ ᱨᱮ ᱱᱩᱭ ᱡᱤᱭᱟᱹᱞᱤ ᱨᱟᱠᱷᱟ ᱫᱚᱦᱚ ᱥᱮ ᱨᱩᱠᱷᱤᱭᱟᱹ ᱞᱟᱹᱜᱤᱫ, ᱑᱙᱘᱘ ᱥᱟᱞᱨᱮ ᱤᱱᱰᱤᱭᱟᱱ ᱠᱟᱣᱩᱱᱥᱤᱞ ᱚᱯᱷ ᱮᱜᱽᱜᱨᱤᱠᱟᱞᱪᱟᱨ ᱨᱤᱥᱟᱨᱪ ᱦᱚᱛᱮᱛᱮ ᱢᱤᱛᱷᱩᱱ ᱟᱜ ᱡᱟᱹᱛᱤᱭᱟᱹᱨᱤ ᱠᱷᱚᱸᱫᱽᱨᱚᱸᱫᱽ ᱛᱟᱞᱢᱟ ᱛᱷᱟᱯᱚᱱ ᱞᱮᱱᱟ ᱾"
He also participated in the stunt-based reality show Fear Factor: Khatron Ke Khiladi 6.,ᱩᱱᱤ ᱫᱚ ᱥᱴᱟᱱᱴᱼᱟᱱᱟᱜ ᱨᱤᱭᱮᱞᱤᱴᱤ ᱥᱳ ᱯᱷᱤᱭᱟᱨ ᱯᱷᱮᱠᱴᱟᱨᱺ ᱠᱷᱟᱛᱨᱳ ᱠᱮ ᱠᱷᱤᱞᱟᱲᱤ ᱖ ᱨᱮᱦᱚᱸ ᱦᱤᱸᱥᱮ ᱦᱟᱛᱟᱣ ᱞᱮᱫᱟ ᱾
"Traditionally, kids receive very special attention from their family, including Birthday-like presents.","ᱢᱟᱨᱮᱱᱟᱜ ᱞᱮᱠᱟᱛᱮ, ᱜᱤᱫᱽᱨᱟᱹ ᱟᱜ ᱡᱟᱱᱟᱢ ᱢᱟᱦᱟ ᱨᱮ ᱥᱟᱸᱫᱮᱥ ᱥᱟᱶ ᱩᱱᱠᱩᱣᱟᱜ ᱜᱷᱟᱨᱚᱸᱡᱽ ᱨᱮ ᱧᱩᱢᱟᱱ ᱢᱟᱹᱱ ᱮ ᱧᱟᱢᱟ ᱾"
"Aishbagh Stadium in Bhopal is the home ground for World Series Hockey team, Bhopal Badshahs.",ᱵᱷᱩᱯᱟᱞ ᱨᱮᱭᱟᱜ ᱟᱭᱥᱵᱟᱜᱽ ᱮᱥᱴᱮᱰᱤᱭᱟᱢ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱳᱣᱟᱞᱨᱰ ᱥᱤᱨᱤᱡ ᱦᱚᱠᱤ ᱜᱟᱫᱮᱞ ᱵᱷᱳᱯᱟᱞ ᱵᱟᱫᱥᱟᱦᱚ ᱠᱚᱶᱟᱜ ᱚᱲᱟᱜ ᱨᱮᱭᱟᱜ ᱴᱟᱺᱰᱤ ᱾
"The origin of Khyal is controversial, although it is accepted that this style was based on dhrupad and influenced by other musical traditions.","ᱠᱷᱮᱭᱟᱞ ᱨᱮᱭᱟᱜ ᱥᱤᱨᱡᱟᱹᱣ ᱫᱚ ᱨᱟᱯᱟᱪᱟᱱᱟᱜ, ᱮᱱᱛᱮ ᱨᱮᱦᱚᱸ ᱱᱚᱶᱟ ᱥᱳᱭᱞᱤ ᱫᱚ ᱫᱷᱨᱩᱯᱫᱽ ᱟᱱᱟᱜ ᱟᱨ ᱮᱴᱟᱝ ᱥᱮᱨᱮᱧ ᱳᱭᱛᱤᱡᱽᱡᱷᱚ ᱛᱮ ᱚᱨᱥᱚᱝ ᱞᱮᱱᱟ ᱢᱮᱛᱮ ᱢᱟᱱᱚᱛ ᱟᱠᱟᱱᱟ ᱾"
Mopin is the main festival that runs from 5 to 6 April.,ᱢᱚᱯᱤᱱ ᱢᱩᱬᱩᱫ ᱯᱟᱨᱟᱵᱽ ᱠᱟᱱᱟ ᱡᱟᱦᱟᱸ ᱕ ᱠᱷᱚᱱ ᱖ ᱮᱯᱨᱤᱞ ᱦᱟᱹᱵᱤᱡ ᱪᱟᱞᱟᱜ ᱠᱟᱱᱟ ᱾
"US Olympic ice hockey silver medalist Molly Schaus returned to her hometown of Naperville, Illinois last weekend.",ᱡᱩᱠᱛᱚᱨᱟᱥᱴᱨᱚ ᱚᱞᱤᱢᱯᱤᱠ ᱟᱭᱤᱥ ᱦᱚᱠᱤᱨᱮ ᱨᱩᱯᱟᱹ ᱯᱚᱫᱚᱠ ᱫᱟᱲᱮᱭᱟᱱ ᱢᱚᱞᱚ ᱥᱟᱣᱩᱥ ᱪᱟᱞᱟᱣᱮᱱ ᱦᱟᱯᱛᱟ ᱤᱞᱤᱱᱚᱭ ᱨᱮᱭᱟᱜ ᱱᱮᱯᱟᱨᱵᱷᱤᱞ ᱨᱮ ᱟᱭᱟᱜ ᱥᱟᱦᱟᱨ ᱛᱮᱭ ᱨᱩᱣᱟᱹᱲ ᱟᱠᱟᱱᱟ ᱾
"If there are many of them, create a schedule for filling them all out.",ᱱᱚᱶᱟ ᱞᱮᱠᱟᱱ ᱟᱭᱢᱟᱜᱟᱱ ᱛᱟᱦᱮᱸ ᱞᱮᱱᱠᱷᱟᱱ ᱚᱱᱟᱠᱚ ᱯᱩᱨᱟᱹᱣ ᱞᱟᱹᱜᱤᱫ ᱢᱤᱫᱴᱮᱱ ᱚᱠᱛᱚᱼᱥᱩᱪᱤ ᱵᱮᱱᱟᱣ ᱡᱚᱝ ᱢᱮ ᱾
"However, if you prefer to do it here instead, you may go ahead with this form.","ᱡᱟᱭᱦᱳᱠ, ᱟᱢ ᱡᱩᱫᱤ ᱱᱚᱶᱟ ᱵᱟᱫᱟᱞᱛᱮ ᱱᱚᱰᱮ ᱱᱚᱶᱟ ᱠᱚᱨᱟᱣᱮ ᱠᱩᱥᱤᱭᱟᱜ ᱠᱟᱱᱟ, ᱮᱱᱠᱷᱟᱱ ᱟᱢ ᱱᱚᱶᱟ ᱯᱷᱚᱨᱚᱢ ᱟᱛᱮ ᱞᱟᱦᱟ ᱥᱮᱱ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾"
The sixth nerve is one of the final common pathways for numerous cortical systems that control eye movement in general.,ᱛᱩᱨᱩᱭ ᱥᱩᱛᱟᱹᱢ ᱥᱤᱨᱟᱹ ᱟᱥᱳᱠᱟᱭᱛᱮ ᱢᱮᱫ ᱨᱮᱭᱟᱜ ᱥᱟᱢᱲᱟᱣ ᱱᱚᱝᱠᱟᱱ ᱟᱹᱰᱤᱜᱟᱱ ᱠᱚᱨᱴᱤᱠᱟᱞ ᱥᱤᱥᱴᱮᱢ ᱞᱟᱹᱜᱤᱫ ᱟᱥᱳᱠᱟᱭᱛᱮ ᱪᱩᱲᱟᱹ ᱰᱟᱦᱟᱨ ᱠᱚ ᱢᱩᱫᱨᱮ ᱢᱤᱫᱴᱟᱝ ᱾
Carmel College for Women is affiliated to Goa University.,ᱠᱟᱨᱢᱮᱞ ᱠᱚᱞᱮᱡᱽ ᱯᱷᱚᱨ ᱩᱭᱢᱮᱱ ᱫᱚ ᱜᱳᱣᱟ ᱡᱮᱸᱜᱮᱫᱵᱤᱨᱫᱟᱹᱜᱟᱲ ᱨᱮ ᱥᱮᱞᱮᱫ ᱢᱮᱱᱟᱜᱼᱟ ᱾
"The official languages of the state are English, Sikkimese Nepali, Sikkimese and Lepcha.","ᱯᱚᱱᱚᱛ ᱨᱮᱭᱟᱜ ᱥᱚᱨᱠᱟᱨᱤ ᱯᱟᱹᱨᱥᱤ ᱫᱚ ᱦᱳᱭᱳᱜ ᱠᱟᱱᱟ ᱤᱝᱨᱮᱡᱤ, ᱥᱤᱠᱤᱢᱤᱡᱽ ᱱᱮᱯᱟᱞᱤ, ᱥᱤᱠᱤᱢᱤᱡᱽ ᱟᱨ ᱞᱮᱯᱪᱟ ᱾"
Arunachal Pradesh has among the highest diversity of mammals and birds in India.,ᱚᱨᱩᱱᱟᱪᱚᱞ ᱯᱨᱚᱫᱮᱥ ᱨᱮ ᱵᱷᱟᱨᱚᱛ ᱨᱮᱱ ᱱᱩᱱᱩᱣᱟᱱ ᱡᱤᱭᱟᱹᱞᱤ ᱟᱨ ᱪᱮᱬᱮᱭᱟᱜ ᱡᱚᱛᱚᱠᱷᱚᱱ ᱰᱷᱮᱨ ᱵᱷᱮᱱᱮᱜᱟᱨ ᱢᱮᱱᱟᱜ ᱟᱠᱟᱫᱟ ᱾
"Nesting indigenous water birds as well as migratory water birds and waterside birds, this sanctuary is also inhabited by sambar, chital, nilgai and boar.","ᱱᱮᱥᱴᱤᱝ ᱫᱤᱥᱚᱢ ᱨᱤᱱ ᱫᱟᱜ ᱪᱮᱸᱬᱮ, ᱮᱴᱟᱜ ᱫᱤᱥᱚᱢ ᱨᱤᱱ ᱫᱟᱜ ᱪᱮᱸᱬᱮ ᱟᱨ ᱫᱟᱜ ᱪᱮᱸᱬᱮ ᱟᱦᱟᱨ ᱨᱮᱱ ᱪᱮᱸᱬᱮ ᱵᱮᱜᱚᱨ, ᱜᱟᱹᱦᱤᱨ ᱵᱤᱨ ᱥᱟᱢᱵᱟᱨ, ᱪᱤᱛᱚᱞ ᱱᱤᱞᱜᱟᱹᱭ ᱟᱨ ᱥᱩᱠᱨᱤ ᱦᱚᱸᱠᱚ ᱛᱟᱸᱦᱮᱱᱟ ᱾"
"While addressing viewers, station commander Dmitry Kondratyev referred to the portrait of Gagarin floating next to him as a representation of the achievement of 'humankind at large'.","ᱫᱚᱨᱥᱚᱠ ᱠᱚ ᱢᱟᱱᱚᱛ ᱮᱢ ᱚᱠᱛᱚ , ᱥᱴᱮᱥᱚᱱ ᱠᱚᱢᱟᱱᱰᱟᱨ ᱫᱤᱢᱤᱛᱛᱨᱤ ᱠᱚᱱᱰᱨᱟᱛᱤᱭᱮᱵᱷ ᱚᱱᱟ ᱥᱳᱨ ᱨᱮ ᱰᱚᱢᱵᱚᱞ ᱟᱠᱟᱱ ᱜᱟᱜᱟᱨᱤᱱ ᱨᱮᱭᱟᱜ ᱯᱨᱚᱛᱤᱠᱤᱨᱛᱤ ᱫᱚ 'ᱢᱟᱱᱣᱟ ᱡᱟᱛᱤ ᱠᱚᱣᱟᱜ ᱢᱟᱨᱟᱝ' ᱚᱨᱡᱚᱱ ᱞᱟᱹᱜᱤᱫ ᱛᱮ ᱯᱨᱚᱛᱤᱱᱤᱫᱷᱤᱛᱛᱚ ᱞᱮᱠᱟᱛᱮ ᱥᱚᱫᱚᱨ ᱥᱟᱢᱟᱝ ᱟᱠᱟᱫᱟᱭ ᱾"
"Additionally, almost 58% of Biharis are below the age of 25, giving Bihar the highest proportion of young people of any Indian state.","ᱮᱱᱛᱮᱨᱮᱦᱚᱸ ᱚᱱᱢᱟᱱ ᱕᱘% ᱵᱤᱦᱟᱨᱤ ᱠᱚᱣᱟᱜ ᱩᱢᱮᱨ ᱒᱕ ᱥᱮᱨᱢᱟ ᱞᱟᱛᱟᱨ ᱨᱮ , ᱡᱟᱦᱟᱸ ᱫᱚ ᱵᱷᱟᱨᱚᱛ ᱨᱮᱭᱟᱜ ᱡᱟᱦᱟᱸᱱ ᱯᱚᱱᱚᱛ ᱨᱮᱱ ᱡᱩᱭᱟᱹᱱ ᱠᱚ ᱛᱩᱞᱩᱡᱽᱛᱮ ᱵᱤᱦᱟᱨ ᱫᱚ ᱡᱚᱛᱚ ᱠᱷᱚᱱ ᱡᱟᱥᱛᱤ ᱯᱚᱲᱚᱱᱼᱮ ᱮᱢᱟ ᱾"
He tells her how much he loves her and asks for forgiveness.,ᱟᱡ ᱩᱱᱤᱭ ᱢᱮᱛᱟᱫᱮᱭᱟ ᱟᱡ ᱩᱱᱤ ᱛᱤᱱᱟᱹᱜ ᱮ ᱫᱩᱞᱟᱹᱲᱟᱭᱟ ᱢᱮᱱᱛᱮ ᱟᱨ ᱩᱱᱤ ᱴᱷᱮᱱ ᱤᱠᱟᱹᱭ ᱠᱷᱚᱡᱟ ᱾
I take this pledge in the spirit of unification of my country which was made possible by the vision and actions of Sardar Vallabhbhai Patel.,ᱤᱧ ᱤᱧᱟᱹᱜ ᱫᱤᱥᱚᱢ ᱨᱮ ᱵᱟᱨᱟᱵᱟᱨᱤ ᱠᱟᱜ ᱪᱮᱛᱟᱱ ᱛᱮ ᱱᱤᱭᱟ ᱠᱟᱛᱷᱟ ᱮᱢ ᱤᱧ ᱦᱟᱛᱟᱣ ᱮᱫᱟ ᱡᱟᱦᱟᱸ ᱥᱚᱨᱫᱟᱨ ᱵᱚᱞᱞᱚᱵᱷ ᱵᱷᱟᱭ ᱯᱮᱴᱮᱞ ᱟᱜ ᱧᱮᱛᱮᱞ ᱟᱨ ᱠᱟᱹᱢᱤ ᱦᱚᱨᱟᱛᱮ ᱦᱩᱭ ᱫᱟᱲᱮᱞᱮᱱᱟ ᱾
Religious sites play a major part in the tourism of Gujarat.,ᱜᱩᱡᱽᱨᱟᱴ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱡᱚᱴᱚᱱ ᱨᱮ ᱫᱷᱚᱨᱚᱢ ᱴᱷᱟᱶ ᱢᱤᱫᱴᱟᱝ ᱢᱩᱬᱩᱫ ᱮᱱᱮᱢᱮ ᱠᱷᱮᱢᱟᱣ ᱟᱠᱟᱫᱟ ᱾
"In his younger days, he was committed to Gandhi and his ideals.","ᱟᱭᱟᱜ ᱜᱤᱫᱽᱨᱟᱹ ᱩᱢᱮᱨ ᱨᱮ, ᱩᱱᱤ ᱫᱚ ᱜᱟᱱᱫᱷᱤ ᱟᱨ ᱩᱱᱤᱭᱟᱜ ᱟᱫᱚᱨᱥᱚ ᱨᱮ ᱠᱟᱛᱷᱟ ᱫᱚᱦᱚᱭ ᱨᱤᱠᱟᱹ ᱞᱮᱫᱟ ᱾"
"The main worshippers, called parvaitin are usually women.",ᱯᱨᱚᱵᱚᱭᱛᱤᱱ ᱧᱩᱛᱩᱢᱟᱱ ᱢᱩᱲᱩᱫ ᱩᱯᱟᱥᱚᱠ ᱠᱚ ᱥᱟᱫᱷᱟᱨᱚᱱᱛᱚ ᱛᱤᱨᱞᱟᱹ ᱠᱚ ᱦᱚᱭᱩᱜᱼᱟ ᱾
